title,label,label_score
5 rahasia kecantikan perempuan asia,clickbait,0
tips puasa kulit,clickbait,0
orangtua wajib contoh anak suka sayur buah,non-clickbait,1
gerakan daur ulang lingkungan bernilai ekonomi,non-clickbait,1
kegunaan kencur masakan ,clickbait,0
launching smartfren wow dimeriahkan selebriti undian berhadiah rumah,non-clickbait,1
cinta dimiliki,non-clickbait,1
mencintai diam tegar menahan rindu,clickbait,0
pasrah jodoh menawarkan terindah,non-clickbait,1
5 menghilangkan bau mulut berasal perut,clickbait,0
baiknya membiarkan adonan mengembang sempurna ,clickbait,0
cerita nadhila qp ngajar beauty class on off festival 2019,clickbait,0
5 inspirasi camilan berbahan dasar labu kuning,clickbait,0
4 tips efektif melangsingkan perut planking,clickbait,0
terima kasih singgah hidupku sahabat,non-clickbait,1
saksikan keseruan pertunjukan musikal aksi ryder pups adventure bay serial paw patrol,non-clickbait,1
mencoba bermain game online samsung galaxy a50s,non-clickbait,1
studi membuktikan perempuan mudah mencintai perutnya kenyang,non-clickbait,1
mengintip spesifikasi canggih harga iphone 11,clickbait,0
optimalkan generasi samsung galaxy a50s hadirkan kamera 48mp milenial,non-clickbait,1
bertahan bertengkar tanda hubungan dibawa pelaminan,clickbait,0
mengenang bj habibie quotes cita cita cinta,non-clickbait,1
7 kebiasaan toxic hubungan cintamu,clickbait,0
kulit ubi dimakan  manfaatnya ,clickbait,0
fashion item bj habibie penghuni museum kepresidenan ri,non-clickbait,1
4 gaya autentik bj habibie kenangan,clickbait,0
sakit bosan alasan perempuan memalsukan kepuasan seksualnya,clickbait,0
selamat bertemu kekasih hati keabadian habibie,non-clickbait,1
uniknya gaya khloe kardashian rambut barunya,clickbait,0
cerita natasha wilona bertemu penggemar garis keras,non-clickbait,1
potret camila cabello shawn mendes tampil publik,non-clickbait,1
sam smith tampil perdana pakai high heels red carpet,non-clickbait,1
lirik lagu louis tomlinson kill my mind,clickbait,0
keseruan nicky tirta berbagi menu masakan kaum,clickbait,0
kesulitan dirasakan prisia nasution film lorong,clickbait,0
hantu rumah raffi ahmad santai,clickbait,0
sepak terjang jefri nichol dunia hiburan terjerat narkoba,clickbait,0
sivia azizah rencana debut penyanyi solo,clickbait,0
organisasi anti alkohol brad pitt berhenti minum minuman keras,non-clickbait,1
cerita melanie subono samping bj habibie meninggal dunia,clickbait,0
tegarnya jefri nichol ditilik zodiak capricorn,clickbait,0
ainun bj habibie dimakamkan sisi sang istri,non-clickbait,1
kronologi meninggalnya bj habibie presiden ri 3,non-clickbait,1
zodiak sagitarius natasha wilona dikekang,non-clickbait,1
cerita detik detik meninggalnya bj habibie,non-clickbait,1
jenazah bj habibie dimakamkan besok tmp kalibata,non-clickbait,1
ungkapan duka cita selebriti wafatnya bj habibie,non-clickbait,1
mengenang sosok bj habibie ilmuwan negarawan,non-clickbait,1
kabar duka bj habibie presiden ri 3 meninggal dunia,non-clickbait,1
belajar kisah hidup bj habibie sang intelek penyayang keluarga,non-clickbait,1
tangis reza rahadian sambut jenazah bj habibie rumah duka,non-clickbait,1
cinta milik andmesh lagu populer,non-clickbait,1
6 lipstik sesuai bentuk bibir,clickbait,0
alasan pengelupasan kulit perawatan wajah,clickbait,0
rambut ketombe ancaman kulit wajah,clickbait,0
rambut tebal alami daun jambu biji,non-clickbait,1
kerap jerawatan dahi disebabkan kondisioner,non-clickbait,1
3 dasar dipahami beli skincare,clickbait,0
blackheads gagal terangkat strip pore tandanya komedo,clickbait,0
mencegah timbulnya benjolan halus kulit bercukur,clickbait,0
4 kebiasaan sehari menyumbat pori pori kulit wajah,clickbait,0
rangkaian perawatan kecantikan wajah aman kulit remaja,clickbait,0
fimela fest 2019 hubungan mindfull parenting kecerdasan sensorik anak,non-clickbait,1
5 mendidik anak disiplin,clickbait,0
memasak brokoli hijau segar,clickbait,0
resep sandwich ala korea cocok bekal,non-clickbait,1
trik bebas boros kartu kredit traveling,non-clickbait,1
jelajahi indonesia 90 kevin hendrawan membawa 20 baju,non-clickbait,1
fimela fest 2019 takut wajar berani melawan ,clickbait,0
rencana pemakaman bj habibie taman makam pahlawan kalibata,non-clickbait,1
rebutan kursi hamil duduk commuter line ,clickbait,0
5 kondisi olahraga,clickbait,0
cintai dirimu mencintai,non-clickbait,1
meraih kebahagiaan cinta butuh perjuangan,non-clickbait,1
baby shark live musical hadir indonesia yuk joget lagu kegemaran buah hati,non-clickbait,1
4 zodiak berpikir positif menggapai tujuan,clickbait,0
fimela fest 2019 kate middleton korban beauty bullying remaja,non-clickbait,1
mengurangi perasaan grogi kencan,clickbait,0
4 mengatasi pilek alami,clickbait,0
3 zodiak mudah jatuh hati sahabatnya,clickbait,0
5 zodiak dikenal manja menggemaskan,clickbait,0
traveling bikin telat ,clickbait,0
tips makanan digoreng hitam,clickbait,0
bulu kuduk merinding mendengar lagu bagus ,clickbait,0
fimela fest 2019 manfaat mindfull parenting ortu anak chill out,clickbait,0
memiliki pasangan menambah hidup,clickbait,0
5 rekomendasi restoran halal korea selatan,clickbait,0
fimela fest 2019 5 alasan perempuan milenial mencintai,clickbait,0
sosok bj habibie prilly latuconsina,non-clickbait,1
cinta sejati habibie ainun bermuara keabadian,non-clickbait,1
opening act konser lukas graham jakarta gisel pesimis,non-clickbait,1
eksklusif joe taslim sibuk artis internasional pandai waktu keluarga,clickbait,0
alasan orlando bloom tolak hadir saturday night live,clickbait,0
lirik lagu bcl cinta sejati,non-clickbait,1
rayakan 17 tahun berkarya maliq  dessentials rilis dvd spesial,non-clickbait,1
suasana haru pemakaman bj habibie,non-clickbait,1
makam bj habibie jokowi selamat jalan mister crack,non-clickbait,1
alasan bj habibie dijuluki mr crack,clickbait,0
4 fakta seru jelang comeback twice feel special,clickbait,0
belajar cinta suci sosok bj habibie,clickbait,0
bayi aura kasih main ular,non-clickbait,1
kesuksesan bj habibie meraih cita cita cinta terekam film layar lebar,non-clickbait,1
sifat boy william karakter zodiak libra,clickbait,0
pesan bj habibie reza rahadian,non-clickbait,1
agnez mo bersinar single terbaru diamonds,non-clickbait,1
duka bunga citra lestari artis artis indonesia meninggalnya bj habibie,non-clickbait,1
peduli lingkungan samuel zylgwyn turun bersihkan sampah laut,non-clickbait,1
pakai busana michael jordan zendaya,non-clickbait,1
5 diperhatikan memilih produk pelembap wajah,clickbait,0
5 tips lipstik matte sempurna,clickbait,0
cegah timbulnya jerawat serum perawatan kulit berminyak ,clickbait,0
retinol memperbaiki kulit ,clickbait,0
rekomendasi body lotion berkandungan shea butter siku kasar,non-clickbait,1
3 makanan anti aging terbaik perempuan kulit kencang,clickbait,0
fimela fest 2019 menghindari memukul anak orangtua emosi,clickbait,0
fimela fest 2019 mengasuh anak emosi mindful parenting,non-clickbait,1
fimela fest 2019 batasi anak main gadget bentuk mindful parenting ,clickbait,0
resep sup ayam jahe sehat sedap,non-clickbait,1
awas rokok elektrik menurunkan kesuburan perempuan,clickbait,0
hubungan jarak sulit dipertahankan kau menghilang,clickbait,0
fimela fest 2019 3 melatih body positivity,clickbait,0
mengenal manfaat asuransi kesehatan keluarga,clickbait,0
destinasi kuliner berkonsep unik 100 pilihan menu makanan,clickbait,0
keindahan bak surga 5 destinasi wisata tersembunyi indonesia,clickbait,0
gelaran mode jakarta fashion week 2020,non-clickbait,1
resep tumis kubis 3 bahan praktis,non-clickbait,1
5 olahan masakan ditambah ketumbar sedap,clickbait,0
resep bakwan jagung bayam renyah,non-clickbait,1
lebik melepaskan bertahan melukai,non-clickbait,1
resep sambal teri bumbu balado,non-clickbait,1
house of hustle ajang beragam olahraga puma,non-clickbait,1
berkenalan sulawesi toraja sapan village sumatra biji kopi terbaik indonesia,non-clickbait,1
cinta menerima menuntut serba sempurna,non-clickbait,1
fimela fest 2019 self love pahami dirimu temukan bahagiamu,non-clickbait,1
suka konyol,non-clickbait,1
3 karakter mendukung kesuksesan karir,clickbait,0
5 kue tradisional jepang berbahan dasar tepung beras,clickbait,0
fimela unboxing update makeup kekinian  dolce  gabbana,non-clickbait,1
tips serai masakan harum aromanya,clickbait,0
mendukung pernikahan langgeng,clickbait,0
asuransi mendukung gelaran olahraga lari gaya hidup sehat,non-clickbait,1
fimela fest 2019 3 negara praktik beauty bullying tertinggi,clickbait,0
kolabora coworking space nyaman instagramable,non-clickbait,1
makeup andalan marsha aruan,clickbait,0
penonton kendall jenner rindu tampil new york fashion week,clickbait,0
gaya rambut 4 ekspresi menggemaskan dian sastrowardoyo,clickbait,0
tampil  harmonia classic story pesona sheila on 7 memudar,non-clickbait,1
kalinya dian sastro produser guru guru gokil,non-clickbait,1
nycta gina kisah anak brutal menyusu,non-clickbait,1
anak posesif alasan nicky tirta,non-clickbait,1
alice norin komunikasi anak,clickbait,0
caesar hito ceritakan pengalaman terlupakan penggemar,non-clickbait,1
kolaborasi unik post malone rocker rapper,non-clickbait,1
cinta laura perempuan inspirasi,non-clickbait,1
sambutan meriah film gundala tiff 2019,non-clickbait,1
tulisan menyentuh boy william sang adik,clickbait,0
anniversary cantiknya memes berbalut kebaya menikah addie ms,clickbait,0
kontroversi buteyko andien manfaat push bike anak,clickbait,0
ulang tahun yeonjun txt trending topik,non-clickbait,1
film cek toko sebelah antre setahun badan sensor cina,non-clickbait,1
balkonjazz festival suasana desa ngejazz,non-clickbait,1
puisi mengharukan najwa shihab bj habibie,non-clickbait,1
mengintip karakter zodiak virgo andien,non-clickbait,1
ariana grande miley cyrus lana del rey tampil seksi dont call me angel,non-clickbait,1
kiki amalia perawatan kecantikan favoritnya,non-clickbait,1
sibuk syuting ernest prakasa pemakaman bj habibie,non-clickbait,1
mina muncul teaser comeback twice feel special,non-clickbait,1
fungsi toner rutinitas perawatan kecantikan kulit,clickbait,0
5 trik lipstik matte menempel sempurna bibir,clickbait,0
6 tips pengaplikasian makeup diperhatikan pemilik kulit sensitif,clickbait,0
miss kurdistan 2018 antusias perawatan tradisional indonesia,non-clickbait,1
rekomendasi 5 lipstik lokal hadir ukuran mini,clickbait,0
3 alasan cleansing oil pembersih wajah terbaik ahli,clickbait,0
fimela fest 2019 mengenal beauty bullying terjebak dalamnya,clickbait,0
tips makeup tahan seharian beraktivitas ruangan,clickbait,0
5 bahan alami dimanfaatkan obat batuk anak,clickbait,0
5 makanan dihindari hamil janin sehat,clickbait,0
resep sandwich keju meleleh lembut mulut,non-clickbait,1
daging dagingan ala vegetarian,clickbait,0
menu sandwich ala korea tumis buncis telur cumi panggang madu,non-clickbait,1
resep ceker pedas empuk,non-clickbait,1
resep sate buntel khas solo,non-clickbait,1
ide menu lezat gampang memenuhi kebutuhan zat besi harian,non-clickbait,1
makanan jatuh menit amankah dimakan ,clickbait,0
memendam perasaan perih sakitnya,non-clickbait,1
dihadapkan pilihan labuhkan hati nyaman,non-clickbait,1
gaya hidup sehat modal wajib bebas penyakit kritis,non-clickbait,1
fimela fest 2019 bersikap optimis mencintai,clickbait,0
bergandengan tangan tercinta meredakan nyeri,non-clickbait,1
5 zodiak mudah menyerah memperjuangkan cinta,clickbait,0
dibuang minyak zaitun kedaluwarsa makeup remover ,clickbait,0
tulus pergi dihargai,non-clickbait,1
sembarangan simak serba serbi menurunkan berat badan hipnoterapi,clickbait,0
kadang hadir menetap menghadiahkan perubahan,non-clickbait,1
cinta terkadang menyakiti tersakiti pilihan,clickbait,0
hasil tes positif terkena lupus rheumatoid arthritis kim kardashian periksa ulang,non-clickbait,1
romantis bj habibie ainun,clickbait,0
lirik lagu wheein goodbye,non-clickbait,1
fimela fest 2019 menghentikan beauty bullying media sosial,clickbait,0
bahan bahan sih sampo anti ketombe ,clickbait,0
review sampo anti ketombe supermarket curi perhatian influencer ternama,clickbait,0
move on rambut berketombe rontok ala alodita,non-clickbait,1
3 rambut penyebab bad hair day,clickbait,0
grabkitchen serius dikembangkan grab antarkan beragam jenis menu pesan,non-clickbait,1
zodiak mudah jatuh cinta pandangan,clickbait,0
kesalahanku menyakiti perasaan pria tulus mencintaiku,clickbait,0
tips memilih menyimpan kayu manis aromanya awet,clickbait,0
nikah menerus meningkatkan depresi,non-clickbait,1
fimela fest 2019 gerakan body positivity,non-clickbait,1
tepung panir gorengan mudah rontok,clickbait,0
mengolah kulit putih semangka manisan,clickbait,0
resep ayam saus telur asin gurih praktis,non-clickbait,1
efektif mengusir mencegah kutu beras ketan,clickbait,0
cinta dipaksakan,clickbait,0
resep tumis mentimun tabur wijen ala korea,non-clickbait,1
tips asam jawa masakan sedap,clickbait,0
taemin epik high ramaikan gyeonggi culture festa 2019 indonesia,non-clickbait,1
fimela fest 2019 perempuan terlahir cantik peduli bentuk fisikmu,non-clickbait,1
menyimpan ubi tahan bertunas,clickbait,0
menu telur dadar bayam tumis cumi mi kangkung jakarta,non-clickbait,1
mengonsumsi pil kb menurunkan gairah seksual perempuan ,clickbait,0
sulit bangun pagi manfaat kesehatan,clickbait,0
didoakan didekatkan,clickbait,0
menelusuri kisah semenanjung kunisaki jepang,non-clickbait,1
dewa19 chungha hibur smartfren wow concert,non-clickbait,1
alasan niki zefanya line up smartfren wow concert,clickbait,0
nicky tirta,clickbait,0
gisella anastasia klarifikasi video klab malam,non-clickbait,1
rambo last blood kembalinya sang legenda john rambo babak,non-clickbait,1
sukses berakting jefan nathanio wujudkan mimpi penyanyi,non-clickbait,1
lady gaga akui cantik makeup,non-clickbait,1
5 manfaat bengkuang,clickbait,0
perias keluarga presiden tienuk riefki meninggal ibas sby adi trihatmanto,non-clickbait,1
5 rekomendasi serum anti aging merek lokal harga terjangkau,clickbait,0
fimela fest 2019 orangtua mindful parenting hasilkan anak bermental sehat,non-clickbait,1
6 zodiak memikirkan,clickbait,0
menu ikan asin pedas celimpungan pepes ayam mercon,non-clickbait,1
face mist alami kulit berminyak,clickbait,0
kegiatan fun karyawan produktif outing,non-clickbait,1
dibuang kulit jeruk mengusir semut,non-clickbait,1
4 jenis sayuran turunkan kolesterol,clickbait,0
jatuh cinta tatap muka,non-clickbait,1
tips menghilangkan bau amis alot kerang,clickbait,0
fimela fest 2019 5 alasan perempuan berdamai takut,clickbait,0
buru buru wag keluarga yuk pertahankan hubungan orangtua,non-clickbait,1
3 kado dibeli gajian,clickbait,0
3 zodiak pemalu,clickbait,0
berolahraga flu batuk ,clickbait,0
hati terluka berhati hati mencintai,non-clickbait,1
cinta dipaksakan sulit bertahan,clickbait,0
fimela fest 2019 perempuan fearless piawai mengatur keuangan,non-clickbait,1
fimela fest 2019 susi pudjiastuti sosok perempuan fearless panutan,non-clickbait,1
fimela fest 2019 6 langkah terbaik mengelola keuangan,clickbait,0
fimela fest 2019 15 perempuan fearless,clickbait,0
fimela fest 2019 grow fearless kekuatan memberdayakan perempuan,clickbait,0
aman makan salmon mentah  bahayanya ,clickbait,0
koleksi jam tangan nyaman profesi,clickbait,0
hati berbeda sulit disatukan,clickbait,0
marsha aruan kenal makeup sekolah,non-clickbait,1
sukacita melankolia yura balkonjazz festival 2019,non-clickbait,1
tampilkan musisi viral smartfren wowconcert usung kolaborasi lintas genre,non-clickbait,1
gisella anastasia tahan haru bicara hubungannya gading marten,non-clickbait,1
lirik lagu brisia jodie rekah,non-clickbait,1
catut nama bayi franda maaf,non-clickbait,1
unggah foto perut cinta laura perhatian,clickbait,0
film generasi 90 an melankolia rangkum lagu milik 3 band papan,non-clickbait,1
pakai cadar vebby palwinta dibilang cantik,clickbait,0
pengalaman alice norin bareng anak,clickbait,0
produser film dian sastrowardoyo didukung suami,non-clickbait,1
mengenang kelegendaan chrisye karya karyanya,non-clickbait,1
google doodle kenang 70 tahun sosok chrisye,clickbait,0
alasan raline shah pilih kedai kopi lini bisnis terbarunya,clickbait,0
